Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018,Colorado State,MWC,FR,TE,12,7,89,12.7,1,7.4,2,3,1.5,0,0.3,9,92,10.2,1,,Trey McBride
2019,Colorado State,MWC,SO,TE,12,45,560,12.4,4,46.7,0,0,,0,0.0,45,560,12.4,4,,Trey McBride
2020,Colorado State,MWC,JR,TE,4,22,330,15.0,4,82.5,0,0,,0,0.0,22,330,15.0,4,,Trey McBride
2021,Colorado State,MWC,SR,TE,12,90,1121,12.5,1,93.4,1,69,69.0,1,5.8,91,1190,13.1,2,AA,Trey McBride
Career,Career,Career,Career,TE,40,164,2100,12.8,10,52.5,3,72,24.0,1,1.8,167,2172,13.0,11,,Trey McBride
