Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2015,Massachusetts,MAC,FR,WR,9,2,7,3.5,0,0.8,3,28,9.3,0,3.1,5,35,7.0,0,,Andy Isabella
2016,Massachusetts,Ind,SO,WR,12,62,801,12.9,7,66.8,12,100,8.3,0,8.3,74,901,12.2,7,,Andy Isabella
2017,Massachusetts,Ind,JR,WR,12,65,1020,15.7,10,85.0,14,135,9.6,1,11.3,79,1155,14.6,11,,Andy Isabella
2018,Massachusetts,Ind,SR,WR,12,102,1698,16.6,13,141.5,11,79,7.2,1,6.6,113,1777,15.7,14,AA,Andy Isabella
Career,Career,Career,Career,WR,45,231,3526,15.3,30,78.4,40,342,8.6,2,7.6,271,3868,14.3,32,,Andy Isabella
