Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016*,Alabama,SEC,,TE,9,0,0,,0,0.0,0,0,0,0.0,0,0,,0,,Irv Smith Jr.
2017*,Alabama,SEC,SO,TE,14,14,128,9.1,3,9.1,0,0,0,0.0,14,128,9.1,3,,Irv Smith Jr.
2018*,Alabama,SEC,JR,TE,15,44,710,16.1,7,47.3,0,0,0,0.0,44,710,16.1,7,,Irv Smith Jr.
Career,Career,Career,Career,TE,38,58,838,14.4,10,22.1,0,0,0,0.0,58,838,14.4,10,,Irv Smith Jr.
