Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2015*,Miami (FL),ACC,FR,TE,13,21,362,17.2,1,27.8,0,0,0,0.0,21,362,17.2,1,,David Njoku
2016*,Miami (FL),ACC,JR,TE,13,43,698,16.2,8,53.7,0,0,0,0.0,43,698,16.2,8,,David Njoku
Career,Career,Career,Career,TE,26,64,1060,16.6,9,40.8,0,0,0,0.0,64,1060,16.6,9,,David Njoku
