Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2021*,Ohio State,Big Ten,FR,WR,13,11,139,12.6,3,10.7,0,0,,0,0.0,11,139,12.6,3,,Marvin Harrison Jr.
2022*,Ohio State,Big Ten,SO,WR,13,77,1263,16.4,14,97.2,2,32,16.0,0,2.5,79,1295,16.4,14,AA,Marvin Harrison Jr.
2023*,Ohio State,Big Ten,JR,WR,12,67,1211,18.1,14,100.9,2,26,13.0,1,2.2,69,1237,17.9,15,H-4AA,Marvin Harrison Jr.
Career,Career,Career,Career,WR,38,155,2613,16.9,31,68.8,4,58,14.5,1,1.5,159,2671,16.8,32,,Marvin Harrison Jr.
