Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011*,Louisville,Big East,,WR,11,18,291,16.2,6,26.5,0,0,0,0.0,18,291,16.2,6,,DeVante Parker
2012*,Louisville,Big East,SO,WR,13,40,744,18.6,10,57.2,0,0,0,0.0,40,744,18.6,10,,DeVante Parker
2013*,Louisville,American,JR,WR,12,55,885,16.1,12,73.8,0,0,0,0.0,55,885,16.1,12,,DeVante Parker
2014*,Louisville,ACC,SR,WR,7,43,855,19.9,5,122.1,0,0,0,0.0,43,855,19.9,5,,DeVante Parker
Career,Career,Career,Career,WR,43,156,2775,17.8,33,64.5,0,0,0,0.0,156,2775,17.8,33,,DeVante Parker
