Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2012*,UCF,CUSA,FR,WR,14,26,388,14.9,3,27.7,0,0,,0,0.0,26,388,14.9,3,,Breshad Perriman
2013*,UCF,American,SO,WR,12,39,811,20.8,4,67.6,0,0,,0,0.0,39,811,20.8,4,,Breshad Perriman
2014*,UCF,American,JR,WR,13,50,1044,20.9,9,80.3,1,0,0.0,0,0.0,51,1044,20.5,9,,Breshad Perriman
Career,Career,Career,Career,WR,39,115,2243,19.5,16,57.5,1,0,0.0,0,0.0,116,2243,19.3,16,,Breshad Perriman
