Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Alabama,SEC,FR,WR,14,14,264,18.9,2,18.9,0,0,,0,0.0,14,264,18.9,2,,Jerry Jeudy
2018*,Alabama,SEC,SO,WR,15,68,1315,19.3,14,87.7,0,0,,0,0.0,68,1315,19.3,14,AA,Jerry Jeudy
2019*,Alabama,SEC,JR,WR,13,77,1163,15.1,10,89.5,1,1,1.0,0,0.1,78,1164,14.9,10,,Jerry Jeudy
Career,Career,Career,Career,WR,42,159,2742,17.2,26,65.3,1,1,1.0,0,0.0,160,2743,17.1,26,,Jerry Jeudy
