Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,LSU,SEC,,WR,6,0,0,,0,0.0,0,0,,0,0.0,0,0,,0,,DJ Chark
2015*,LSU,SEC,SO,WR,5,0,11,,0,2.2,1,79,79.0,1,15.8,1,90,90.0,1,,DJ Chark
2016*,LSU,SEC,JR,WR,12,26,466,17.9,3,38.8,12,122,10.2,2,10.2,38,588,15.5,5,,DJ Chark
2017*,LSU,SEC,SR,WR,13,40,874,21.9,3,67.2,12,63,5.3,1,4.8,52,937,18.0,4,,DJ Chark
Career,Career,Career,Career,WR,36,66,1351,20.5,6,37.5,25,264,10.6,4,7.3,91,1615,17.7,10,,DJ Chark
