Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2015*,Alabama,SEC,FR,WR,15,89,1045,11.7,7,69.7,1,2,2.0,0,0.1,90,1047,11.6,7,,Calvin Ridley
2016*,Alabama,SEC,SO,WR,15,72,769,10.7,7,51.3,5,21,4.2,1,1.4,77,790,10.3,8,,Calvin Ridley
2017*,Alabama,SEC,JR,WR,14,63,967,15.3,5,69.1,2,17,8.5,0,1.2,65,984,15.1,5,,Calvin Ridley
Career,Career,Career,Career,WR,44,224,2781,12.4,19,63.2,8,40,5.0,1,0.9,232,2821,12.2,20,,Calvin Ridley
