Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018*,Penn State,Big Ten,FR,TE,13,26,368,14.2,8,28.3,0,0,0,0.0,26,368,14.2,8,,Pat Freiermuth
2019*,Penn State,Big Ten,SO,TE,13,43,507,11.8,7,39.0,0,0,0,0.0,43,507,11.8,7,,Pat Freiermuth
2020,Penn State,Big Ten,JR,TE,4,23,310,13.5,1,77.5,0,0,0,0.0,23,310,13.5,1,,Pat Freiermuth
Career,Career,Career,Career,TE,30,92,1185,12.9,16,39.5,0,0,0,0.0,92,1185,12.9,16,,Pat Freiermuth
