Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016,Arizona State,Pac-12,FR,WR,12,58,659,11.4,5,54.9,3,69,23.0,2,5.8,61,728,11.9,7,,N'Keal Harry
2017*,Arizona State,Pac-12,SO,WR,13,82,1142,13.9,8,87.8,13,65,5.0,0,5.0,95,1207,12.7,8,,N'Keal Harry
2018*,Arizona State,Pac-12,JR,WR,12,73,1088,14.9,9,90.7,7,10,1.4,1,0.8,80,1098,13.7,10,,N'Keal Harry
Career,Career,Career,Career,WR,37,213,2889,13.6,22,78.1,23,144,6.3,3,3.9,236,3033,12.9,25,,N'Keal Harry
