Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2020*,Notre Dame,ACC,FR,TE,12,42,450,10.7,2,37.5,0,0,0,0.0,42,450,10.7,2,,Michael Mayer
2021*,Notre Dame,Ind,SO,TE,12,71,840,11.8,7,70.0,0,0,0,0.0,71,840,11.8,7,,Michael Mayer
2022*,Notre Dame,Ind,JR,TE,12,67,809,12.1,9,67.4,0,0,0,0.0,67,809,12.1,9,AA,Michael Mayer
Career,Career,Career,Career,TE,36,180,2099,11.7,18,58.3,0,0,0,0.0,180,2099,11.7,18,,Michael Mayer
