Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018*,LSU,SEC,FR,WR,13,12,192,16.0,0,14.8,0,0,0,0.0,12,192,16.0,0,,Terrace Marshall Jr.
2019*,LSU,SEC,SO,WR,12,46,671,14.6,13,55.9,0,0,0,0.0,46,671,14.6,13,,Terrace Marshall Jr.
2020,LSU,SEC,JR,WR,7,48,731,15.2,10,104.4,0,0,0,0.0,48,731,15.2,10,,Terrace Marshall Jr.
Career,Career,Career,Career,WR,32,106,1594,15.0,23,49.8,0,0,0,0.0,106,1594,15.0,23,,Terrace Marshall Jr.
