Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2013*,East Carolina,CUSA,FR,WR,12,62,604,9.7,5,50.3,0,0,,0,0.0,62,604,9.7,5,,Zay Jones
2014*,East Carolina,American,SO,WR,13,81,830,10.2,5,63.8,0,0,,0,0.0,81,830,10.2,5,,Zay Jones
2015,East Carolina,American,JR,WR,12,98,1099,11.2,5,91.6,1,-6,-6.0,0,-0.5,99,1093,11.0,5,,Zay Jones
2016,East Carolina,American,SR,WR,12,158,1746,11.1,8,145.5,4,24,6.0,0,2.0,162,1770,10.9,8,,Zay Jones
Career,Career,Career,Career,WR,49,399,4279,10.7,23,87.3,5,18,3.6,0,0.4,404,4297,10.6,23,,Zay Jones
