Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011,Miami (FL),ACC,FR,WR,12,14,147,10.5,1,12.3,0,0,,0,0.0,14,147,10.5,1,,Phillip Dorsett
2012,Miami (FL),ACC,SO,WR,12,58,842,14.5,4,70.2,5,8,1.6,0,0.7,63,850,13.5,4,,Phillip Dorsett
2013*,Miami (FL),ACC,JR,WR,7,13,272,20.9,2,38.9,0,0,,0,0.0,13,272,20.9,2,,Phillip Dorsett
2014*,Miami (FL),ACC,SR,WR,13,36,871,24.2,10,67.0,2,-6,-3.0,0,-0.5,38,865,22.8,10,,Phillip Dorsett
Career,Career,Career,Career,WR,44,121,2132,17.6,17,48.5,7,2,0.3,0,0.0,128,2134,16.7,17,,Phillip Dorsett
