Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2021*,LSU,SEC,FR,WR,11,28,417,14.9,4,37.9,4,23,5.8,0,2.1,32,440,13.8,4,,Malik Nabers
2022*,LSU,SEC,SO,WR,14,72,1017,14.1,3,72.6,1,5,5.0,0,0.4,73,1022,14.0,3,,Malik Nabers
2023*,LSU,SEC,JR,WR,13,89,1569,17.6,14,120.7,1,1,1.0,0,0.1,90,1570,17.4,14,AA,Malik Nabers
Career,Career,Career,Career,WR,38,189,3003,15.9,21,79.0,6,29,4.8,0,0.8,195,3032,15.5,21,,Malik Nabers
