Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019*,USC,Pac-12,FR,WR,13,39,567,14.5,5,43.6,0,0,,0,0.0,39,567,14.5,5,,Drake London
2020,USC,Pac-12,SO,WR,6,33,502,15.2,3,83.7,0,0,,0,0.0,33,502,15.2,3,,Drake London
2021,USC,Pac-12,JR,WR,8,88,1084,12.3,7,135.5,1,2,2.0,0,0.3,89,1086,12.2,7,,Drake London
Career,Career,Career,Career,WR,27,160,2153,13.5,15,79.7,1,2,2.0,0,0.1,161,2155,13.4,15,,Drake London
