Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2021*,Kansas State,Big 12,FR,TE,12,2,15,7.5,0,1.3,3,12,4.0,1,1.0,5,27,5.4,1,,Ben Sinnott
2022*,Kansas State,Big 12,SO,TE,14,31,447,14.4,4,31.9,0,0,,0,0.0,31,447,14.4,4,,Ben Sinnott
2023*,Kansas State,Big 12,JR,TE,12,49,676,13.8,6,56.3,0,0,,0,0.0,49,676,13.8,6,,Ben Sinnott
Career,Career,Career,Career,TE,38,82,1138,13.9,10,29.9,3,12,4.0,1,0.3,85,1150,13.5,11,,Ben Sinnott
