Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2020*,Ohio State,Big Ten,FR,WR,7,10,49,4.9,1,7.0,0,0,0,0.0,10,49,4.9,1,,Jaxon Smith-Njigba
2021*,Ohio State,Big Ten,SO,WR,13,95,1606,16.9,9,123.5,0,0,0,0.0,95,1606,16.9,9,,Jaxon Smith-Njigba
2022*,Ohio State,Big Ten,JR,WR,3,5,43,8.6,0,14.3,0,0,0,0.0,5,43,8.6,0,,Jaxon Smith-Njigba
Career,Career,Career,Career,WR,23,110,1698,15.4,10,73.8,0,0,0,0.0,110,1698,15.4,10,,Jaxon Smith-Njigba
