Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018*,Ohio State,Big Ten,FR,WR,14,12,197,16.4,3,14.1,0,0,,0,0.0,12,197,16.4,3,,Chris Olave
2019*,Ohio State,Big Ten,SO,WR,14,49,849,17.3,12,60.6,2,5,2.5,0,0.4,51,854,16.7,12,,Chris Olave
2020*,Ohio State,Big Ten,JR,WR,7,50,729,14.6,7,104.1,1,0,0.0,0,0.0,51,729,14.3,7,,Chris Olave
2021*,Ohio State,Big Ten,SR,WR,12,65,936,14.4,13,78.0,0,0,,0,0.0,65,936,14.4,13,,Chris Olave
Career,Career,Career,Career,WR,47,176,2711,15.4,35,57.7,3,5,1.7,0,0.1,179,2716,15.2,35,,Chris Olave
