Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2021,Texas,Big 12,FR,WR,12,62,981,15.8,12,81.8,1,7,7.0,0,0.6,63,988,15.7,12,,Xavier Worthy
2022*,Texas,Big 12,SO,WR,13,60,760,12.7,9,58.5,2,14,7.0,0,1.1,62,774,12.5,9,,Xavier Worthy
2023*,Texas,Big 12,JR,WR,14,75,1014,13.5,5,72.4,4,35,8.8,0,2.5,79,1049,13.3,5,,Xavier Worthy
Career,Career,Career,Career,WR,39,197,2755,14.0,26,70.6,7,56,8.0,0,1.4,204,2811,13.8,26,,Xavier Worthy
