Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011*,Washington,Pac-12,FR,TE,13,41,538,13.1,6,41.4,0,0,0,0.0,41,538,13.1,6,,Austin Seferian-Jenkins
2012*,Washington,Pac-12,SO,TE,13,69,852,12.3,7,65.5,0,0,0,0.0,69,852,12.3,7,,Austin Seferian-Jenkins
2013*,Washington,Pac-12,JR,TE,12,36,450,12.5,8,37.5,0,0,0,0.0,36,450,12.5,8,,Austin Seferian-Jenkins
Career,Career,Career,Career,TE,38,146,1840,12.6,21,48.4,0,0,0,0.0,146,1840,12.6,21,,Austin Seferian-Jenkins
