Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018,Ole Miss,SEC,FR,WR,12,36,398,11.1,2,33.2,3,8,2.7,0,0.7,39,406,10.4,2,,Elijah Moore
2019,Ole Miss,SEC,SO,WR,12,67,850,12.7,6,70.8,4,-1,-0.3,0,-0.1,71,849,12.0,6,,Elijah Moore
2020*,Ole Miss,SEC,JR,WR,8,86,1193,13.9,8,149.1,14,64,4.6,0,8.0,100,1257,12.6,8,AA,Elijah Moore
Career,Career,Career,Career,WR,32,189,2441,12.9,16,76.3,21,71,3.4,0,2.2,210,2512,12.0,16,,Elijah Moore
