Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2013,Arkansas,SEC,,TE,10,28,409,14.6,4,40.9,0,0,0,0.0,28,409,14.6,4,,Hunter Henry
2014*,Arkansas,SEC,SO,TE,13,37,513,13.9,2,39.5,0,0,0,0.0,37,513,13.9,2,,Hunter Henry
2015*,Arkansas,SEC,JR,TE,13,51,739,14.5,3,56.8,0,0,0,0.0,51,739,14.5,3,AA,Hunter Henry
Career,Career,Career,Career,TE,36,116,1661,14.3,9,46.1,0,0,0,0.0,116,1661,14.3,9,,Hunter Henry
