Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011,Texas Tech,Big 12,FR,TE,12,7,57,8.1,2,4.8,0,0,0,0.0,7,57,8.1,2,,Jace Amaro
2012*,Texas Tech,Big 12,SO,TE,7,25,409,16.4,4,58.4,0,0,0,0.0,25,409,16.4,4,,Jace Amaro
2013*,Texas Tech,Big 12,JR,TE,13,106,1352,12.8,7,104.0,0,0,0,0.0,106,1352,12.8,7,AA,Jace Amaro
Career,Career,Career,Career,TE,32,138,1818,13.2,13,56.8,0,0,0,0.0,138,1818,13.2,13,,Jace Amaro
