Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2019,Arkansas,SEC,FR,WR,11,29,475,16.4,0,43.2,9,35,3.9,0,3.2,38,510,13.4,0,,Treylon Burks
2020,Arkansas,SEC,SO,WR,9,51,820,16.1,7,91.1,15,75,5.0,0,8.3,66,895,13.6,7,,Treylon Burks
2021*,Arkansas,SEC,JR,WR,12,66,1104,16.7,11,92.0,14,112,8.0,1,9.3,80,1216,15.2,12,,Treylon Burks
Career,Career,Career,Career,WR,32,146,2399,16.4,18,75.0,38,222,5.8,1,6.9,184,2621,14.2,19,,Treylon Burks
