Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016,Ole Miss,SEC,FR,WR,12,29,412,14.2,2,34.3,0,0,0,0.0,29,412,14.2,2,,A.J. Brown
2017,Ole Miss,SEC,SO,WR,12,75,1252,16.7,11,104.3,0,0,0,0.0,75,1252,16.7,11,,A.J. Brown
2018,Ole Miss,SEC,JR,WR,12,85,1320,15.5,6,110.0,0,0,0,0.0,85,1320,15.5,6,,A.J. Brown
Career,Career,Career,Career,WR,36,189,2984,15.8,19,82.9,0,0,0,0.0,189,2984,15.8,19,,A.J. Brown
