Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2013*,Ole Miss,SEC,FR,TE,8,21,268,12.8,3,33.5,0,0,0,0.0,21,268,12.8,3,,Evan Engram
2014*,Ole Miss,SEC,SO,TE,13,38,662,17.4,2,50.9,0,0,0,0.0,38,662,17.4,2,,Evan Engram
2015*,Ole Miss,SEC,JR,TE,13,38,464,12.2,2,35.7,0,0,0,0.0,38,464,12.2,2,,Evan Engram
2016,Ole Miss,SEC,SR,TE,11,65,926,14.2,8,84.2,0,0,0,0.0,65,926,14.2,8,,Evan Engram
Career,Career,Career,Career,TE,45,162,2320,14.3,15,51.6,0,0,0,0.0,162,2320,14.3,15,,Evan Engram
