Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Oklahoma,Big 12,FR,WR,14,46,807,17.5,7,57.6,0,0,,0,0.0,46,807,17.5,7,,CeeDee Lamb
2018*,Oklahoma,Big 12,SO,WR,14,65,1158,17.8,11,82.7,0,0,,0,0.0,65,1158,17.8,11,,CeeDee Lamb
2019*,Oklahoma,Big 12,JR,WR,13,62,1327,21.4,14,102.1,9,20,2.2,1,1.5,71,1347,19.0,15,AA,CeeDee Lamb
Career,Career,Career,Career,WR,41,173,3292,19.0,32,80.3,9,20,2.2,1,0.5,182,3312,18.2,33,,CeeDee Lamb
