Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Texas Christian,Big 12,FR,WR,14,33,576,17.5,8,41.1,8,65,8.1,0,4.6,41,641,15.6,8,,Jalen Reagor
2018*,Texas Christian,Big 12,SO,WR,13,72,1061,14.7,9,81.6,13,170,13.1,2,13.1,85,1231,14.5,11,,Jalen Reagor
2019,Texas Christian,Big 12,JR,WR,12,43,611,14.2,5,50.9,14,89,6.4,0,7.4,57,700,12.3,5,,Jalen Reagor
Career,Career,Career,Career,WR,39,148,2248,15.2,22,57.6,35,324,9.3,2,8.3,183,2572,14.1,24,,Jalen Reagor
