Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2015,South Carolina,SEC,FR,TE,12,8,106,13.3,0,8.8,0,0,,0,0.0,8,106,13.3,0,,Hayden Hurst
2016*,South Carolina,SEC,SO,TE,13,48,616,12.8,1,47.4,2,9,4.5,0,0.7,50,625,12.5,1,,Hayden Hurst
2017*,South Carolina,SEC,JR,TE,13,44,559,12.7,2,43.0,9,30,3.3,1,2.3,53,589,11.1,3,,Hayden Hurst
Career,Career,Career,Career,TE,38,100,1281,12.8,3,33.7,11,39,3.5,1,1.0,111,1320,11.9,4,,Hayden Hurst
