Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018*,Minnesota,Big Ten,FR,WR,13,51,704,13.8,6,54.2,0,0,0,0.0,51,704,13.8,6,,Rashod Bateman
2019*,Minnesota,Big Ten,SO,WR,13,60,1219,20.3,11,93.8,0,0,0,0.0,60,1219,20.3,11,,Rashod Bateman
2020,Minnesota,Big Ten,JR,WR,5,36,472,13.1,2,94.4,0,0,0,0.0,36,472,13.1,2,,Rashod Bateman
Career,Career,Career,Career,WR,31,147,2395,16.3,19,77.3,0,0,0,0.0,147,2395,16.3,19,,Rashod Bateman
