Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2011*,North Carolina,ACC,FR,TE,10,10,207,20.7,1,20.7,0,0,,0,0.0,10,207,20.7,1,,Eric Ebron
2012,North Carolina,ACC,SO,TE,11,40,625,15.6,4,56.8,0,0,,0,0.0,40,625,15.6,4,,Eric Ebron
2013*,North Carolina,ACC,JR,TE,13,62,973,15.7,3,74.8,2,7,3.5,0,0.5,64,980,15.3,3,,Eric Ebron
Career,Career,Career,Career,TE,34,112,1805,16.1,8,53.1,2,7,3.5,0,0.2,114,1812,15.9,8,,Eric Ebron
