Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2013*,Minnesota,Big Ten,FR,TE,13,25,417,16.7,5,32.1,1,7,7.0,0,0.5,26,424,16.3,5,,Maxx Williams
2014*,Minnesota,Big Ten,SO,TE,12,36,569,15.8,8,47.4,0,0,,0,0.0,36,569,15.8,8,,Maxx Williams
Career,Career,Career,Career,TE,25,61,986,16.2,13,39.4,1,7,7.0,0,0.3,62,993,16.0,13,,Maxx Williams
