Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Iowa,Big Ten,FR,TE,13,24,320,13.3,3,24.6,0,0,,0,0.0,24,320,13.3,3,,T.J. Hockenson
2018*,Iowa,Big Ten,SO,TE,13,49,760,15.5,6,58.5,1,4,4.0,1,0.3,50,764,15.3,7,,T.J. Hockenson
Career,Career,Career,Career,TE,26,73,1080,14.8,9,41.5,1,4,4.0,1,0.2,74,1084,14.6,10,,T.J. Hockenson
