Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2020,Washington,Pac-12,FR,WR,4,6,72,12.0,0,18.0,3,-16,-5.3,0,-4.0,9,56,6.2,0,,Rome Odunze
2021,Washington,Pac-12,FR,WR,9,41,415,10.1,4,46.1,2,13,6.5,0,1.4,43,428,10.0,4,,Rome Odunze
2022*,Washington,Pac-12,SO,WR,12,75,1145,15.3,7,95.4,3,6,2.0,1,0.5,78,1151,14.8,8,,Rome Odunze
2023*,Washington,Pac-12,JR,WR,15,92,1640,17.8,13,109.3,2,37,18.5,1,2.5,94,1677,17.8,14,AA,Rome Odunze
Career,Career,Career,Career,WR,40,214,3272,15.3,24,81.8,10,40,4.0,2,1.0,224,3312,14.8,26,,Rome Odunze
