Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2020,Utah,Pac-12,JR,TE,5,1,14,14.0,0,2.8,0,0,,0,0.0,1,14,14.0,0,,Dalton Kincaid
2021*,Utah,Pac-12,JR,TE,14,36,510,14.2,8,36.4,1,4,4.0,0,0.3,37,514,13.9,8,,Dalton Kincaid
2022*,Utah,Pac-12,SR,TE,12,70,890,12.7,8,74.2,0,0,,0,0.0,70,890,12.7,8,,Dalton Kincaid
Career,Career,Career,Career,TE,31,107,1414,13.2,16,45.6,1,4,4.0,0,0.1,108,1418,13.1,16,,Dalton Kincaid
