Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016*,Iowa,Big Ten,FR,TE,10,9,70,7.8,1,7.0,0,0,,0,0.0,9,70,7.8,1,,Noah Fant
2017*,Iowa,Big Ten,SO,TE,13,30,494,16.5,11,38.0,2,-1,-0.5,0,-0.1,32,493,15.4,11,,Noah Fant
2018*,Iowa,Big Ten,JR,TE,12,39,519,13.3,7,43.3,2,1,0.5,0,0.1,41,520,12.7,7,,Noah Fant
Career,Career,Career,Career,TE,35,78,1083,13.9,19,30.9,4,0,0.0,0,0.0,82,1083,13.2,19,,Noah Fant
