Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2013*,Clemson,ACC,FR,WR,10,20,316,15.8,3,31.6,0,0,0,0.0,20,316,15.8,3,,Mike Williams
2014*,Clemson,ACC,SO,WR,13,57,1030,18.1,6,79.2,0,0,0,0.0,57,1030,18.1,6,,Mike Williams
2015*,Clemson,ACC,JR,WR,1,2,20,10.0,1,20.0,0,0,0,0.0,2,20,10.0,1,,Mike Williams
2016*,Clemson,ACC,JR,WR,15,98,1361,13.9,11,90.7,0,0,0,0.0,98,1361,13.9,11,,Mike Williams
Career,Career,Career,Career,WR,39,177,2727,15.4,21,69.9,0,0,0,0.0,177,2727,15.4,21,,Mike Williams
