Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017*,Notre Dame,Ind,FR,TE,13,2,14,7.0,0,1.1,0,0,0,0.0,2,14,7.0,0,,Cole Kmet
2018*,Notre Dame,Ind,SO,TE,11,15,162,10.8,0,14.7,0,0,0,0.0,15,162,10.8,0,,Cole Kmet
2019*,Notre Dame,Ind,JR,TE,11,43,515,12.0,6,46.8,0,0,0,0.0,43,515,12.0,6,,Cole Kmet
Career,Career,Career,Career,TE,35,60,691,11.5,6,19.7,0,0,0,0.0,60,691,11.5,6,,Cole Kmet
