Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2018*,Florida,SEC,FR,TE,11,3,73,24.3,1,6.6,0,0,0,0.0,3,73,24.3,1,,Kyle Pitts
2019*,Florida,SEC,SO,TE,13,54,649,12.0,5,49.9,0,0,0,0.0,54,649,12.0,5,,Kyle Pitts
2020*,Florida,SEC,JR,TE,8,43,770,17.9,12,96.3,0,0,0,0.0,43,770,17.9,12,H-10AA,Kyle Pitts
Career,Career,Career,Career,TE,32,100,1492,14.9,18,46.6,0,0,0,0.0,100,1492,14.9,18,,Kyle Pitts
