Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2016*,USC,Pac-12,FR,WR,13,6,82,13.7,0,6.3,0,0,,0,0.0,6,82,13.7,0,,Michael Pittman Jr.
2017*,USC,Pac-12,SO,WR,11,23,404,17.6,2,36.7,0,0,,0,0.0,23,404,17.6,2,,Michael Pittman Jr.
2018,USC,Pac-12,JR,WR,11,41,758,18.5,6,68.9,1,9,9.0,0,0.8,42,767,18.3,6,,Michael Pittman Jr.
2019*,USC,Pac-12,SR,WR,13,101,1275,12.6,11,98.1,0,0,,0,0.0,101,1275,12.6,11,,Michael Pittman Jr.
Career,Career,Career,Career,WR,48,171,2519,14.7,19,52.5,1,9,9.0,0,0.2,172,2528,14.7,19,,Michael Pittman Jr.
