Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,Oklahoma State,Big 12,FR,WR,13,28,456,16.3,6,35.1,1,20,20.0,0,1.5,29,476,16.4,6,,James Washington
2015*,Oklahoma State,Big 12,SO,WR,13,53,1087,20.5,10,83.6,1,10,10.0,0,0.8,54,1097,20.3,10,,James Washington
2016*,Oklahoma State,Big 12,JR,WR,13,71,1380,19.4,10,106.2,4,28,7.0,0,2.2,75,1408,18.8,10,,James Washington
2017*,Oklahoma State,Big 12,SR,WR,13,74,1549,20.9,13,119.2,3,12,4.0,1,0.9,77,1561,20.3,14,AA,James Washington
Career,Career,Career,Career,WR,52,226,4472,19.8,39,86.0,9,70,7.8,1,1.3,235,4542,19.3,40,,James Washington
