Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2017,Florida,SEC,FR,WR,8,15,152,10.1,0,19.0,14,120,8.6,1,15.0,29,272,9.4,1,,Kadarius Toney
2018*,Florida,SEC,SO,WR,12,25,260,10.4,1,21.7,21,240,11.4,0,20.0,46,500,10.9,1,,Kadarius Toney
2019*,Florida,SEC,JR,WR,7,10,194,19.4,1,27.7,12,59,4.9,0,8.4,22,253,11.5,1,,Kadarius Toney
2020*,Florida,SEC,SR,WR,11,70,984,14.1,10,89.5,19,161,8.5,1,14.6,89,1145,12.9,11,,Kadarius Toney
Career,Career,Career,Career,WR,38,120,1590,13.3,12,41.8,66,580,8.8,2,15.3,186,2170,11.7,14,,Kadarius Toney
