Season,Team,Conf,Class,Pos,G,Rec,Yds,Y/R,TD,Y/G,Att,Yds.1,Y/A,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,Awards,Player
2014*,USC,Pac-12,FR,WR,13,54,724,13.4,5,55.7,2,3,1.5,0,0.2,56,727,13.0,5,,JuJu Smith-Schuster
2015*,USC,Pac-12,SO,WR,14,89,1454,16.3,10,103.9,1,4,4.0,0,0.3,90,1458,16.2,10,,JuJu Smith-Schuster
2016*,USC,Pac-12,JR,WR,13,70,914,13.1,10,70.3,5,27,5.4,0,2.1,75,941,12.5,10,,JuJu Smith-Schuster
Career,Career,Career,Career,WR,40,213,3092,14.5,25,77.3,8,34,4.3,0,0.9,221,3126,14.1,25,,JuJu Smith-Schuster
