Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2013*,Florida State,ACC,FR,QB,14,257,384,66.9,4057,40,10.4,10,2.6,10.6,11.48,15.8,289.8,184.8,H-1AACamp,Jameis Winston
2014*,Florida State,ACC,SO,QB,13,305,467,65.3,3907,25,5.4,18,3.9,8.4,7.7,12.8,300.5,145.5,H-6,Jameis Winston
Career,Career,Career,Career,QB,27,562,851,66.0,7964,65,7.6,28,3.3,9.4,9.41,14.2,295.0,163.3,,Jameis Winston
