Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2012*,Oregon,Pac-12,FR,QB,13,230,336,68.5,2677,32,9.5,6,1.8,8.0,9.07,11.6,205.9,163.2,,Marcus Mariota
2013*,Oregon,Pac-12,SO,QB,13,245,386,63.5,3665,31,8.0,4,1.0,9.5,10.63,15.0,281.9,167.7,,Marcus Mariota
2014*,Oregon,Pac-12,JR,QB,15,304,445,68.3,4454,42,9.4,4,0.9,10.0,11.49,14.7,296.9,181.7,H-1MaxwellAACamp,Marcus Mariota
Career,Career,Career,Career,QB,41,779,1167,66.8,10796,105,9.0,14,1.2,9.3,10.51,13.9,263.3,171.8,,Marcus Mariota
