Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2014*,North Carolina,ACC,SO,QB,12,42,78,53.8,459,5,6.4,4,5.1,5.9,4.86,10.9,38.3,114.2,,Mitchell Trubisky
2015*,North Carolina,ACC,SO,QB,9,40,47,85.1,555,6,12.8,0,0.0,11.8,14.36,13.9,61.7,226.4,,Mitchell Trubisky
2016*,North Carolina,ACC,JR,QB,13,304,447,68.0,3748,30,6.7,6,1.3,8.4,9.12,12.3,288.3,157.9,,Mitchell Trubisky
Career,Career,Career,Career,QB,34,386,572,67.5,4762,41,7.2,10,1.7,8.3,8.97,12.3,140.1,157.6,,Mitchell Trubisky
