Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2021*,Michigan,Big Ten,FR,QB,11,34,59,57.6,516,5,8.5,2,3.4,8.7,8.92,15.2,46.9,152.3,,J.J. McCarthy
2022*,Michigan,Big Ten,SO,QB,14,208,322,64.6,2719,22,6.8,5,1.6,8.4,9.11,13.1,194.2,155.0,,J.J. McCarthy
2023*,Michigan,Big Ten,JR,QB,15,240,332,72.3,2991,22,6.6,4,1.2,9.0,9.79,12.5,199.4,167.4,H-10,J.J. McCarthy
Career,Career,Career,Career,QB,40,482,713,67.6,6226,49,6.9,11,1.5,8.7,9.41,12.9,155.7,160.5,,J.J. McCarthy
