Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2018*,Clemson,ACC,FR,QB,15,259,397,65.2,3280,30,7.6,4,1.0,8.3,9.32,12.7,218.7,157.6,,Trevor Lawrence
2019*,Clemson,ACC,SO,QB,15,268,407,65.8,3665,36,8.8,8,2.0,9.0,9.89,13.7,244.3,166.7,H-7,Trevor Lawrence
2020*,Clemson,ACC,JR,QB,10,231,334,69.2,3153,24,7.2,5,1.5,9.4,10.2,13.6,315.3,169.2,H-2,Trevor Lawrence
Career,Career,Career,Career,QB,40,758,1138,66.6,10098,90,7.9,17,1.5,8.9,9.78,13.3,252.5,164.3,,Trevor Lawrence
