Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2018*,Georgia,SEC,FR,QB,12.0,27.0,39.0,69.2,328.0,4.0,10.3,0.0,0.0,8.4,10.46,12.1,27.3,173.7,,Justin Fields
2019*,Ohio State,Big Ten,SO,QB,14.0,238.0,354.0,67.2,3273.0,41.0,11.6,3.0,0.8,9.2,11.18,13.8,233.8,181.4,H-3,Justin Fields
2020*,Ohio State,Big Ten,JR,QB,8.0,158.0,225.0,70.2,2100.0,22.0,9.8,6.0,2.7,9.3,10.09,13.3,262.5,175.6,H-7,Justin Fields
Career,Career,Career,Career,QB,34.0,423.0,618.0,68.4,5701.0,67.0,10.8,9.0,1.5,9.2,10.74,13.5,167.7,178.8,,Justin Fields
,,,,QB,,,,,,,,,,,,,,,,Justin Fields
Georgia (1 Yr),Georgia (1 Yr),Georgia (1 Yr),Georgia (1 Yr),QB,12.0,27.0,39.0,69.2,328.0,4.0,10.3,0.0,0.0,8.4,10.46,12.1,27.3,173.7,,Justin Fields
Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),Ohio State (2 Yrs),QB,22.0,396.0,579.0,68.4,5373.0,63.0,10.9,9.0,1.6,9.3,10.76,13.6,244.2,179.1,,Justin Fields
