Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2014,Texas Tech,Big 12,FR,QB,7,105,185,56.8,1547,16,8.6,4,2.2,8.4,9.12,14.7,221.0,151.2,,Patrick Mahomes
2015*,Texas Tech,Big 12,SO,QB,13,364,573,63.5,4653,36,6.3,15,2.6,8.1,8.2,12.8,357.9,147.2,,Patrick Mahomes
2016,Texas Tech,Big 12,JR,QB,12,388,591,65.7,5052,41,6.9,10,1.7,8.5,9.17,13.0,421.0,157.0,,Patrick Mahomes
Career,Career,Career,Career,QB,32,857,1349,63.5,11252,93,6.9,29,2.1,8.3,8.75,13.1,351.6,152.0,,Patrick Mahomes
