Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2015,Missouri,SEC,FR,QB,12,129,263,49.0,1332,4,1.5,8,3.0,5.1,4.0,10.3,111.0,90.5,,Drew Lock
2016,Missouri,SEC,SO,QB,12,237,434,54.6,3399,23,5.3,10,2.3,7.8,7.85,14.3,283.3,133.3,,Drew Lock
2017*,Missouri,SEC,JR,QB,13,242,419,57.8,3964,44,10.5,13,3.1,9.5,10.16,16.4,304.9,165.7,,Drew Lock
2018*,Missouri,SEC,SR,QB,13,275,437,62.9,3498,28,6.4,8,1.8,8.0,8.46,12.7,269.1,147.7,,Drew Lock
Career,Career,Career,Career,QB,50,883,1553,56.9,12193,99,6.4,39,2.5,7.9,8.0,13.8,243.9,138.8,,Drew Lock
