Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2019*,Penn State,Big Ten,SO,QB,7.0,28.0,47.0,59.6,223.0,2.0,4.3,2.0,4.3,4.7,3.68,8.0,31.9,105.0,,Will Levis
2020,Penn State,Big Ten,SO,QB,8.0,33.0,55.0,60.0,421.0,1.0,1.8,0.0,0.0,7.7,8.02,12.8,52.6,130.3,,Will Levis
2021*,Kentucky,SEC,JR,QB,13.0,233.0,353.0,66.0,2827.0,24.0,6.8,13.0,3.7,8.0,7.71,12.1,217.5,148.3,,Will Levis
2022*,Kentucky,SEC,SR,QB,11.0,185.0,283.0,65.4,2406.0,19.0,6.7,10.0,3.5,8.5,8.25,13.0,218.7,151.9,,Will Levis
Career,Career,Career,Career,QB,39.0,479.0,738.0,64.9,5877.0,46.0,6.2,25.0,3.4,8.0,7.69,12.3,150.7,145.6,,Will Levis
,,,,QB,,,,,,,,,,,,,,,,Will Levis
Kentucky (2 Yrs),Kentucky (2 Yrs),Kentucky (2 Yrs),Kentucky (2 Yrs),QB,24.0,418.0,636.0,65.7,5233.0,43.0,6.8,23.0,3.6,8.2,7.95,12.5,218.0,149.9,,Will Levis
Penn State (2 Yrs),Penn State (2 Yrs),Penn State (2 Yrs),Penn State (2 Yrs),QB,15.0,61.0,102.0,59.8,644.0,3.0,2.9,2.0,2.0,6.3,6.02,10.6,42.9,118.6,,Will Levis
