Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2015,Wyoming,MWC,SO,QB,2,4,6,66.7,51,0,0.0,0,0.0,8.5,8.5,12.8,25.5,138.1,,Josh Allen
2016*,Wyoming,MWC,SO,QB,14,209,373,56.0,3203,28,7.5,15,4.0,8.6,8.28,15.3,228.8,144.9,,Josh Allen
2017*,Wyoming,MWC,JR,QB,11,152,270,56.3,1812,16,5.9,6,2.2,6.7,6.9,11.9,164.7,127.8,,Josh Allen
Career,Career,Career,Career,QB,27,365,649,56.2,5066,44,6.8,21,3.2,7.8,7.71,13.9,187.6,137.7,,Josh Allen
