Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2016,Duke,ACC,FR,QB,12,270,430,62.8,2836,16,3.7,9,2.1,6.6,6.4,10.5,236.3,126.3,,Daniel Jones
2017*,Duke,ACC,SO,QB,13,257,453,56.7,2691,14,3.1,11,2.4,5.9,5.47,10.5,207.0,112.0,,Daniel Jones
2018*,Duke,ACC,JR,QB,11,237,392,60.5,2674,22,5.6,9,2.3,6.8,6.91,11.3,243.1,131.7,,Daniel Jones
Career,Career,Career,Career,QB,36,764,1275,59.9,8201,52,4.1,29,2.3,6.4,6.22,10.7,227.8,122.9,,Daniel Jones
