Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2013,Penn State,Big Ten,FR,QB,12,231,392,58.9,2955,20,5.1,10,2.6,7.5,7.41,12.8,246.3,134.0,,Christian Hackenberg
2014*,Penn State,Big Ten,SO,QB,13,270,484,55.8,2977,12,2.5,15,3.1,6.2,5.25,11.0,229.0,109.4,,Christian Hackenberg
2015*,Penn State,Big Ten,JR,QB,13,192,359,53.5,2525,16,4.5,6,1.7,7.0,7.17,13.2,194.2,123.9,,Christian Hackenberg
Career,Career,Career,Career,QB,38,693,1235,56.1,8457,48,3.9,31,2.5,6.8,6.5,12.2,222.6,121.4,,Christian Hackenberg
