Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2018*,Alabama,SEC,FR,QB,14,5,13,38.5,123,1,7.7,0,0.0,9.5,11.0,24.6,8.8,143.3,,Mac Jones
2019*,Alabama,SEC,SO,QB,12,97,141,68.8,1503,14,9.9,3,2.1,10.7,11.69,15.5,125.3,186.8,,Mac Jones
2020*,Alabama,SEC,JR,QB,13,311,402,77.4,4500,41,10.2,4,1.0,11.2,12.79,14.5,346.2,203.1,H-3AA,Mac Jones
Career,Career,Career,Career,QB,39,413,556,74.3,6126,56,10.1,7,1.3,11.0,12.47,14.8,157.1,197.6,,Mac Jones
