Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2016,Oregon,Pac-12,FR,QB,9,162,255,63.5,1936,19,7.5,4,1.6,7.6,8.38,12.0,215.1,148.8,,Justin Herbert
2017*,Oregon,Pac-12,SO,QB,8,139,206,67.5,1983,15,7.3,5,2.4,9.6,9.99,14.3,247.9,167.5,,Justin Herbert
2018*,Oregon,Pac-12,JR,QB,13,240,404,59.4,3151,29,7.2,8,2.0,7.8,8.34,13.1,242.4,144.6,,Justin Herbert
2019*,Oregon,Pac-12,SR,QB,14,286,428,66.8,3471,32,7.5,6,1.4,8.1,8.97,12.1,247.9,156.8,,Justin Herbert
Career,Career,Career,Career,QB,44,827,1293,64.0,10541,95,7.3,23,1.8,8.2,8.82,12.7,239.6,153.1,,Justin Herbert
