Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2009*,Fresno State,WAC,FR,QB,5.0,10.0,14.0,71.4,112.0,0.0,0.0,0.0,0.0,8.0,8.0,11.2,22.4,138.6,,Derek Carr
,,,,QB,,,,,,,,,,,,,,,,Derek Carr
2011,Fresno State,WAC,SO,QB,13.0,279.0,446.0,62.6,3544.0,26.0,5.8,9.0,2.0,7.9,8.2,12.7,272.6,144.5,,Derek Carr
2012*,Fresno State,MWC,JR,QB,13.0,344.0,511.0,67.3,4104.0,37.0,7.2,7.0,1.4,8.0,8.86,11.9,315.7,155.9,,Derek Carr
2013*,Fresno State,MWC,SR,QB,13.0,454.0,659.0,68.9,5083.0,50.0,7.6,8.0,1.2,7.7,8.68,11.2,391.0,156.3,H-8,Derek Carr
Career,Career,Career,Career,QB,44.0,1087.0,1630.0,66.7,12843.0,113.0,6.9,24.0,1.5,7.9,8.6,11.8,291.9,152.8,,Derek Carr
