Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2020*,Alabama,SEC,FR,QB,8,13,22,59.1,156,1,4.5,0,0.0,7.1,8.0,12.0,19.5,133.7,,Bryce Young
2021*,Alabama,SEC,SO,QB,15,366,547,66.9,4872,47,8.6,7,1.3,8.9,10.05,13.3,324.8,167.5,H-1MaxwellAA,Bryce Young
2022*,Alabama,SEC,JR,QB,12,245,380,64.5,3328,32,8.4,5,1.3,8.8,9.85,13.6,277.3,163.2,H-6,Bryce Young
Career,Career,Career,Career,QB,35,624,949,65.8,8356,80,8.4,12,1.3,8.8,9.92,13.4,238.7,165.0,,Bryce Young
