Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2015*,Notre Dame,Ind,SO,QB,13,211,335,63.0,2884,21,6.3,10,3.0,8.6,8.52,13.7,221.8,150.0,,DeShone Kizer
2016,Notre Dame,Ind,JR,QB,12,212,361,58.7,2925,26,7.2,9,2.5,8.1,8.42,13.8,243.8,145.6,,DeShone Kizer
Career,Career,Career,Career,QB,25,423,696,60.8,5809,47,6.8,19,2.7,8.3,8.47,13.7,232.4,147.7,,DeShone Kizer
