Season,Team,Conf,Class,Pos,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Awards,Player
2015*,Texas A&M,SEC,FR,QB,8.0,72.0,121.0,59.5,686.0,5.0,4.1,7.0,5.8,5.7,3.89,9.5,85.8,109.2,,Kyler Murray
,,,,QB,,,,,,,,,,,,,,,,Kyler Murray
2017*,Oklahoma,Big 12,SO,QB,7.0,18.0,21.0,85.7,359.0,3.0,14.3,0.0,0.0,17.1,19.95,19.9,51.3,276.5,,Kyler Murray
2018*,Oklahoma,Big 12,JR,QB,14.0,260.0,377.0,69.0,4361.0,42.0,11.1,7.0,1.9,11.6,12.96,16.8,311.5,199.2,H-1,Kyler Murray
Career,Career,Career,Career,QB,29.0,350.0,519.0,67.4,5406.0,50.0,9.6,14.0,2.7,10.4,11.13,15.4,186.4,181.3,,Kyler Murray
,,,,QB,,,,,,,,,,,,,,,,Kyler Murray
Oklahoma (2 Yrs),Oklahoma (2 Yrs),Oklahoma (2 Yrs),Oklahoma (2 Yrs),QB,21.0,278.0,398.0,69.8,4720.0,45.0,11.3,7.0,1.8,11.9,13.33,17.0,224.8,203.3,,Kyler Murray
Texas A&M (1 Yr),Texas A&M (1 Yr),Texas A&M (1 Yr),Texas A&M (1 Yr),QB,8.0,72.0,121.0,59.5,686.0,5.0,4.1,7.0,5.8,5.7,3.89,9.5,85.8,109.2,,Kyler Murray
